GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GraphHopper Core,com.graphhopper.routing.lm,PerfectApproximator,1,69,1,5,0,13,1,7,0,5
GraphHopper Core,com.graphhopper.routing.lm,LMConfig,30,17,6,0,6,7,6,3,3,3
GraphHopper Core,com.graphhopper.routing.lm,LMPreparationHandler,74,462,12,30,16,102,11,27,0,17
GraphHopper Core,com.graphhopper.routing.lm,LandmarkStorage.new Comparator() {...},0,13,0,0,0,2,0,2,0,2
GraphHopper Core,com.graphhopper.routing.lm,LandmarkStorage.new AbstractAdjustedWeighting() {...},0,28,0,2,0,6,0,4,0,3
GraphHopper Core,com.graphhopper.routing.lm,LMRoutingAlgorithmFactory,50,127,4,6,9,25,3,6,0,4
GraphHopper Core,com.graphhopper.routing.lm,PrepareLandmarks,27,123,2,2,8,32,6,11,4,11
GraphHopper Core,com.graphhopper.routing.lm,LandmarkStorage.LandmarkExplorer,11,188,2,16,2,40,2,16,0,9
GraphHopper Core,com.graphhopper.routing.lm,LMApproximator.new Dijkstra() {...},0,36,0,2,0,6,0,4,0,3
GraphHopper Core,com.graphhopper.routing.lm,LandmarkStorage.LandmarkExplorer.new IntObjectProcedure() {...},0,61,0,2,0,5,0,3,0,2
GraphHopper Core,com.graphhopper.routing.lm,LandmarkStorage.LandmarkExplorer.new IntObjectPredicate() {...},19,38,1,5,4,6,1,4,0,2
GraphHopper Core,com.graphhopper.routing.lm,LandmarkStorage,422,1330,62,124,68,269,54,79,5,35
GraphHopper Core,com.graphhopper.routing.lm,LandmarkSuggestion,119,0,14,0,32,0,11,0,4,0
GraphHopper Core,com.graphhopper.routing.lm,SplitArea,8,40,1,3,1,10,1,4,0,3
GraphHopper Core,com.graphhopper.routing.lm,LMApproximator,9,328,2,22,2,60,2,21,0,11
GraphHopper Core,com.graphhopper.routing,FlexiblePathCalculator,14,152,2,10,2,31,2,12,0,8
GraphHopper Core,com.graphhopper.routing,DirectionResolver.Point,10,40,3,7,1,9,4,5,1,3
GraphHopper Core,com.graphhopper.routing,AlternativeRouteEdgeCH.AlternativeInfo,11,13,0,0,3,5,2,1,2,1
GraphHopper Core,com.graphhopper.routing,AlternativeRouteCH.AlternativeInfo,11,13,0,0,3,5,2,1,2,1
GraphHopper Core,com.graphhopper.routing,Router.LMSolver,9,58,0,4,1,10,0,4,0,2
GraphHopper Core,com.graphhopper.routing,AbstractRoutingAlgorithm,21,109,3,13,4,28,5,15,2,10
GraphHopper Core,com.graphhopper.routing,RoundTripRouting.Result,0,9,0,0,0,3,0,1,0,1
GraphHopper Core,com.graphhopper.routing,DijkstraOneToMany.IntArrayListWithCap,4,3,0,0,1,2,1,1,1,1
GraphHopper Core,com.graphhopper.routing,TestProfiles,3,94,0,0,1,21,1,6,1,6
GraphHopper Core,com.graphhopper.routing,AStar,9,362,4,54,3,72,4,36,0,11
GraphHopper Core,com.graphhopper.routing,InstructionsHelper,3,151,2,34,1,34,3,23,1,7
GraphHopper Core,com.graphhopper.routing,RoundTripRouting.Params,0,43,0,0,0,9,0,2,0,2
GraphHopper Core,com.graphhopper.routing,HeadingResolver,0,75,0,4,0,20,0,5,0,3
GraphHopper Core,com.graphhopper.routing,RouterConfig,4,89,0,0,2,35,1,18,1,18
GraphHopper Core,com.graphhopper.routing,MultiplePointsNotFoundException,9,0,0,0,4,0,2,0,2,0
GraphHopper Core,com.graphhopper.routing,EdgeRestrictions,0,31,0,0,0,11,0,6,0,6
GraphHopper Core,com.graphhopper.routing,AlternativeRoute,21,329,11,25,6,63,10,20,0,12
GraphHopper Core,com.graphhopper.routing,RoundTripRouting,28,220,4,14,7,37,4,9,1,3
GraphHopper Core,com.graphhopper.routing,AlternativeRoute.1.new IntObjectPredicate() {...},0,25,0,2,0,5,0,3,0,2
GraphHopper Core,com.graphhopper.routing,DirectionResolver.AdjacentEdges,0,121,0,14,0,29,0,17,0,10
GraphHopper Core,com.graphhopper.routing,Router.CHSolver,15,113,3,7,3,21,3,7,0,5
GraphHopper Core,com.graphhopper.routing,CHPathCalculator,19,108,3,7,3,25,3,8,0,6
GraphHopper Core,com.graphhopper.routing,DijkstraBidirectionRef,3,24,0,0,1,5,1,4,1,4
GraphHopper Core,com.graphhopper.routing,AbstractNonCHBidirAlgo,36,391,7,59,7,84,9,41,2,15
GraphHopper Core,com.graphhopper.routing,AlternativeRouteEdgeCH.PotentialAlternativeInfo,8,3,0,0,1,1,1,1,1,1
GraphHopper Core,com.graphhopper.routing,InstructionsOutgoingEdges,70,435,20,68,7,80,15,38,0,9
GraphHopper Core,com.graphhopper.routing,AbstractBidirCHAlgo,83,471,22,64,13,101,21,45,5,18
GraphHopper Core,com.graphhopper.routing,AbstractBidirectionEdgeCHNoSOD,14,250,4,48,1,44,4,32,0,10
GraphHopper Core,com.graphhopper.routing,ViaRouting,73,525,12,82,11,92,12,42,1,6
GraphHopper Core,com.graphhopper.routing,SPTEntry,8,53,0,4,1,16,1,9,1,7
GraphHopper Core,com.graphhopper.routing,AlternativeRouteCH.PotentialAlternativeInfo,0,3,0,0,0,1,0,1,0,1
GraphHopper Core,com.graphhopper.routing,AbstractBidirAlgo,77,422,8,58,19,102,15,51,7,26
GraphHopper Core,com.graphhopper.routing,DirectionResolver.Edge,0,12,0,0,0,5,0,1,0,1
GraphHopper Core,com.graphhopper.routing,AlternativeRoute.AlternativeInfo,21,33,0,0,4,11,4,3,4,3
GraphHopper Core,com.graphhopper.routing,InstructionsFromEdges,16,1256,14,142,3,236,14,72,0,8
GraphHopper Core,com.graphhopper.routing,PathExtractor,3,135,1,3,1,32,1,8,0,7
GraphHopper Core,com.graphhopper.routing,AlgorithmOptions,47,63,0,0,7,22,2,11,2,11
GraphHopper Core,com.graphhopper.routing,DijkstraOneToMany,55,451,11,41,15,100,16,22,5,7
GraphHopper Core,com.graphhopper.routing,RoutingAlgorithmFactorySimple,35,151,5,13,5,29,4,8,0,3
GraphHopper Core,com.graphhopper.routing,AlternativeRoute.new IntObjectPredicate() {...},100,459,13,61,10,77,12,32,0,7
GraphHopper Core,com.graphhopper.routing,AStarBidirectionCH,24,82,0,0,6,16,2,7,2,7
GraphHopper Core,com.graphhopper.routing,Router.Solver,71,159,11,15,13,31,9,17,1,12
GraphHopper Core,com.graphhopper.routing,Path,31,299,3,15,8,79,6,33,3,27
GraphHopper Core,com.graphhopper.routing,AStarBidirectionEdgeCHNoSOD,26,120,0,4,7,21,2,15,2,13
GraphHopper Core,com.graphhopper.routing,AlternativeRouteCH,55,604,12,44,11,119,10,34,1,15
GraphHopper Core,com.graphhopper.routing,DefaultWeightingFactory,56,153,10,22,10,34,9,9,0,2
GraphHopper Core,com.graphhopper.routing,DijkstraBidirectionEdgeCHNoSOD,23,22,2,0,6,6,2,5,1,5
GraphHopper Core,com.graphhopper.routing,Dijkstra,0,243,1,27,0,54,1,22,0,9
GraphHopper Core,com.graphhopper.routing,ViaRouting.Result,0,12,0,0,0,4,0,1,0,1
GraphHopper Core,com.graphhopper.routing,AStarBidirection,8,126,0,6,2,21,2,11,2,8
GraphHopper Core,com.graphhopper.routing,DirectionResolver,27,484,12,58,5,88,12,32,0,9
GraphHopper Core,com.graphhopper.routing,DijkstraBidirectionCH,0,75,0,10,0,16,0,10,0,5
GraphHopper Core,com.graphhopper.routing,Router,148,895,23,65,24,162,22,46,0,24
GraphHopper Core,com.graphhopper.routing,DirectionResolverResult,96,154,18,18,15,33,18,21,5,14
GraphHopper Core,com.graphhopper.routing,Path.new Path.EdgeVisitor() {...},0,16,0,0,0,4,0,3,0,3
GraphHopper Core,com.graphhopper.routing,Path.new Path.EdgeVisitor() {...},0,16,0,0,0,4,0,3,0,3
GraphHopper Core,com.graphhopper.routing,RoundTripRouting.RoundTripCalculator,0,59,0,2,0,13,0,3,0,2
GraphHopper Core,com.graphhopper.routing,Path.new Path.EdgeVisitor() {...},0,28,0,2,0,6,0,4,0,3
GraphHopper Core,com.graphhopper.routing,OSMReaderConfig,5,120,0,0,2,43,1,22,1,22
GraphHopper Core,com.graphhopper.routing,AStar.AStarEntry,0,25,0,0,0,7,0,4,0,4
GraphHopper Core,com.graphhopper.routing,Router.FlexSolver,1,189,1,9,1,36,1,10,0,6
GraphHopper Core,com.graphhopper.routing,DijkstraBidirectionCHNoSOD,5,19,0,0,2,4,2,3,2,3
GraphHopper Core,com.graphhopper.routing,AbstractBidirCHAlgo.CHLevelEdgeFilter,0,41,0,6,0,9,0,5,0,2
GraphHopper Core,com.graphhopper.routing,DefaultBidirPathExtractor,9,205,2,10,1,51,2,17,0,13
GraphHopper Core,com.graphhopper.routing,AlternativeRouteEdgeCH,61,708,14,52,12,133,13,39,1,18
GraphHopper Core,com.graphhopper.routing.querygraph,QueryGraph,64,393,9,23,10,77,11,37,5,27
GraphHopper Core,com.graphhopper.routing.querygraph,QueryRoutingCHGraph,28,331,3,17,7,62,5,30,2,23
GraphHopper Core,com.graphhopper.routing.querygraph,QueryRoutingCHGraph.VirtualCHEdgeIterator,31,83,4,4,5,20,4,15,1,14
GraphHopper Core,com.graphhopper.routing.querygraph,VirtualEdgeIteratorState,367,361,36,38,53,74,39,45,19,28
GraphHopper Core,com.graphhopper.routing.querygraph,QueryOverlayBuilder,44,300,8,22,5,62,6,17,0,8
GraphHopper Core,com.graphhopper.routing.querygraph,QueryGraph.new EdgeExplorer() {...},0,52,0,4,0,8,0,4,0,2
GraphHopper Core,com.graphhopper.routing.querygraph,QueryGraph.new IntObjectProcedure() {...},0,46,0,4,0,8,0,4,0,2
GraphHopper Core,com.graphhopper.routing.querygraph,QueryOverlay,0,60,0,0,0,14,0,8,0,8
GraphHopper Core,com.graphhopper.routing.querygraph,QueryOverlayBuilder.1.new Comparator() {...},0,51,0,2,0,9,0,4,0,3
GraphHopper Core,com.graphhopper.routing.querygraph,EdgeChangeBuilder,14,201,2,16,2,44,2,16,0,9
GraphHopper Core,com.graphhopper.routing.querygraph,QueryOverlay.EdgeChanges,0,21,0,0,0,6,0,3,0,3
GraphHopper Core,com.graphhopper.routing.querygraph,QueryOverlayBuilder.new IntObjectPredicate() {...},14,245,4,12,1,42,4,6,0,2
GraphHopper Core,com.graphhopper.routing.querygraph,VirtualEdgeIterator,198,143,5,7,42,31,30,24,27,21
GraphHopper Core,com.graphhopper.routing.querygraph,QueryRoutingCHGraph.VirtualCHEdgeIteratorState,16,73,0,4,1,22,1,13,1,11
GraphHopper Core,com.graphhopper.routing.querygraph,QueryRoutingCHGraph.new IntObjectProcedure() {...},4,135,2,10,0,21,2,7,0,3
GraphHopper Core,com.graphhopper.routing.querygraph,QueryRoutingCHGraph.new RoutingCHEdgeExplorer() {...},0,59,0,4,0,10,0,4,0,2
GraphHopper Core,com.graphhopper.routing.querygraph,EdgeChangeBuilder.new IntProcedure() {...},0,11,0,0,0,3,0,2,0,2
GraphHopper Core,com.graphhopper.reader.osm.pbf,PbfRawBlob,0,15,0,0,0,6,0,3,0,3
GraphHopper Core,com.graphhopper.reader.osm.pbf,PbfFieldDecoder,9,73,0,2,1,13,1,5,1,4
GraphHopper Core,com.graphhopper.reader.osm.pbf,PbfReader,11,57,1,1,3,16,1,3,0,3
GraphHopper Core,com.graphhopper.reader.osm.pbf,PbfBlobDecoder,88,534,12,40,19,131,11,28,0,13
GraphHopper Core,com.graphhopper.reader.osm.pbf,PbfDecoder.new PbfBlobDecoderListener() {...},16,25,0,0,5,6,1,2,1,2
GraphHopper Core,com.graphhopper.reader.osm.pbf,PbfBlobResult,13,34,0,0,5,12,2,5,2,5
GraphHopper Core,com.graphhopper.reader.osm.pbf,PbfStreamSplitter,32,109,5,7,7,36,6,9,1,8
GraphHopper Core,com.graphhopper.reader.osm.pbf,PbfDecoder,14,143,1,9,3,42,1,10,0,6
GraphHopper Core,com.graphhopper.routing.weighting.custom,CustomModelParser.new DeepCopier() {...},0,61,4,8,0,10,4,4,0,2
GraphHopper Core,com.graphhopper.routing.weighting.custom,CustomModelParser.new LinkedHashMap() {...},2,12,1,1,0,2,1,2,0,2
GraphHopper Core,com.graphhopper.routing.weighting.custom,CustomWeightingHelper,53,133,5,17,9,30,9,12,4,6
GraphHopper Core,com.graphhopper.routing.weighting.custom,FindMinMax,60,230,13,27,12,38,12,13,1,4
GraphHopper Core,com.graphhopper.routing.weighting.custom,ValueExpressionVisitor,115,648,18,72,22,128,20,39,3,11
GraphHopper Core,com.graphhopper.routing.weighting.custom,ConditionalExpressionVisitor,19,520,8,62,5,86,11,32,3,5
GraphHopper Core,com.graphhopper.routing.weighting.custom,CustomWeighting2,115,0,12,0,22,0,14,0,8,0
GraphHopper Core,com.graphhopper.routing.weighting.custom,ConditionalExpressionVisitor.Replacement,0,12,0,0,0,5,0,1,0,1
GraphHopper Core,com.graphhopper.routing.weighting.custom,CustomWeighting,21,161,4,14,3,31,4,14,0,9
GraphHopper Core,com.graphhopper.routing.weighting.custom,ParseResult,0,3,0,0,0,1,0,1,0,1
GraphHopper Core,com.graphhopper.routing.weighting.custom,CustomWeighting.Parameters,0,39,0,0,0,14,0,7,0,7
GraphHopper Core,com.graphhopper.routing.weighting.custom,CustomModelParser,234,1112,41,105,44,213,39,57,1,22
GraphHopper Core,com.graphhopper.search,KVStorage,180,1422,45,171,23,248,36,95,0,23
GraphHopper Core,com.graphhopper.search,KVStorage.KValue,49,129,10,26,4,22,10,15,1,6
GraphHopper Core,com.graphhopper.isochrone.algorithm,ReadableTriangulation,0,10,0,0,0,2,0,2,0,2
GraphHopper Core,com.graphhopper.isochrone.algorithm,ReadableQuadEdge,0,5,0,0,0,1,0,1,0,1
GraphHopper Core,com.graphhopper.isochrone.algorithm,JTSTriangulator,176,0,16,0,40,0,11,0,3,0
GraphHopper Core,com.graphhopper.isochrone.algorithm,Triangulation,38,249,6,24,8,50,7,19,2,9
GraphHopper Core,com.graphhopper.isochrone.algorithm,ShortestPathTree.IsoLabel,12,24,0,0,1,9,1,1,1,1
GraphHopper Core,com.graphhopper.isochrone.algorithm,Triangulator.Result,9,0,0,0,4,0,1,0,1,0
GraphHopper Core,com.graphhopper.isochrone.algorithm,TriangulationAsReadableTriangulation,14,17,2,0,2,5,2,3,1,3
GraphHopper Core,com.graphhopper.isochrone.algorithm,ContourBuilder,96,366,14,48,11,68,14,25,2,6
GraphHopper Core,com.graphhopper.isochrone.algorithm,ShortestPathTree,30,381,2,38,7,73,6,30,4,12
GraphHopper Core,com.graphhopper.isochrone.algorithm,ShortestPathTree.ExploreType,0,21,0,0,0,1,0,1,0,1
GraphHopper Core,com.graphhopper.isochrone.algorithm,QuadEdgeAsReadableQuadEdge,8,93,4,4,1,18,4,12,0,12
GraphHopper Core,com.graphhopper.isochrone.algorithm,QuadEdgeSubdivisionAsReadableTriangulation,8,18,0,0,2,5,2,2,2,2
GraphHopper Core,com.graphhopper.routing.subnetwork,EdgeBasedTarjanSCC.TarjanArrayIntIntMap,0,43,0,2,0,10,0,6,0,5
GraphHopper Core,com.graphhopper.routing.subnetwork,SubnetworkStorage,14,47,1,1,3,15,3,7,2,7
GraphHopper Core,com.graphhopper.routing.subnetwork,EdgeBasedTarjanSCC.ConnectedComponents,5,44,1,1,1,11,1,6,0,6
GraphHopper Core,com.graphhopper.routing.subnetwork,TarjanSCC,41,610,15,66,2,122,15,42,0,15
GraphHopper Core,com.graphhopper.routing.subnetwork,TarjanSCC.State,0,27,0,0,0,5,0,1,0,1
GraphHopper Core,com.graphhopper.routing.subnetwork,EdgeBasedTarjanSCC.TarjanArrayIntSet,5,34,1,1,1,9,1,4,0,4
GraphHopper Core,com.graphhopper.routing.subnetwork,EdgeBasedTarjanSCC,32,740,14,73,1,171,14,54,0,23
GraphHopper Core,com.graphhopper.routing.subnetwork,TarjanSCC.ConnectedComponents,5,44,1,1,1,11,1,6,0,6
